,단어,품사,점수
0,인도적,NNG,1
1,균등,NNG,1
2,질투,NNG,-1
3,보상,NNG,1
4,독소,NNG,-1
5,응원,NNG,1
6,핑계,NNG,-1
7,양아치,NNG,-1
8,악취,NNG,-1
9,인센티브,NNG,1
10,장려,NNG,1
11,손상,NNG,-1
12,붕괴,NNG,-1
13,고통,NNG,-1
14,고생,NNG,-1
15,음주운전,NNP,-1
16,격려,NNG,1
17,청결,NNG,1
18,합격,NNG,1
19,불합격,NNG,-1
20,후유증,NNG,-1
21,장애,NNG,-1
22,장애물,NNG,-1
23,스트레스,NNG,-1
24,부진,NNG,-1
25,부작용,NNG,-1
26,참사,NNG,-1
27,죄책감,NNG,-1
28,비상사태,NNG,-1
29,유야무야,NNG,-1
30,평화,NNG,1
31,과실,NNG,-1
32,하극상,NNG,-1
33,소극,NNG,-1
34,급부상,NNG,1
35,적폐,NNG,-1
36,모욕,NNG,-1
37,납치,NNG,-1
38,곤란,NNG,-1
39,경질,NNG,-1
40,유출,NNG,-1
41,감금,NNG,-1
42,벌금,NNG,-1
43,학대,NNG,-1
44,탕진,NNG,-1
45,불륜,NNG,-1
46,변덕,NNG,-1
47,진상,NNG,-1
48,체포,NNG,-1
49,일석이조,NNG,1
50,수치심,NNG,-1
51,증오,NNG,-1
52,청렴,NNG,1
53,탄핵,NNG,-1
54,부득이,MAG,-1
55,오류,NNG,-1
56,허점,NNG,-1
57,궁지,NNG,-1
58,유언비어,NNG,-1
59,난항,NNG,-1
60,멸시,NNG,-1
61,갈취,NNG,-1
62,꼰대,NNG,-1
63,분노,NNG,-1
64,교만,NNG,-1
65,치욕,NNG,-1
66,불통,NNG,-1
67,피살,NNG,-1
68,배려,NNG,1
69,착잡,NNG,-1
70,기적,NNG,1
71,헌신,NNG,1
72,개판,NNG,-1
73,경솔,NNG,-1
74,낭비,NNG,-1
75,외면,NNG,-1
76,막장,NNG,-1
77,불평,NNG,-1
78,부정행위,NNG,-1
79,자격지심,NNG,-1
80,열사병,NNG,-1
81,기탁,NNG,1
82,음해,NNG,-1
83,듣보잡,NNG,-1
84,자유분방,NNG,1
85,후폭풍,NNG,-1
86,원흉,NNG,-1
87,몰상식,NNG,-1
88,과오,NNG,-1
89,참혹,NNG,-1
90,상생,NNG,1
91,곤경,NNG,-1
92,괴담,NNG,-1
93,교도소,NNG,-1
94,결박,NNG,-1
95,날조,NNG,-1
96,허구,NNG,-1
97,첩첩산중,NNG,-1
98,가중,NNG,-1
99,침해,NNG,-1
100,힐링,NNG,1
101,찐따,NNG,-1
102,탈옥,NNG,-1
103,열세,NNG,-1
104,용기,NNG,1
105,전과자,NNG,-1
106,패악,NNG,-1
107,포악,NNG,-1
108,의처증,NNG,-1
109,진심,NNG,1
110,정전,NNG,-1
111,정통,NNG,1
112,퍽치기,NNG,-1
113,아비규환,NNG,-1
114,저항,NNG,-1
115,리더십,NNG,1
116,총격,NNG,-1
117,괴물,NNG,-1
118,짜증,NNG,-1
119,공분,NNG,-1
120,평안,NNG,1
121,성매매,NNG,-1
122,흉악망측,NNG,-1
123,차질,NNG,-1
124,비참,NNG,-1
125,궁색,NNG,-1
126,해괴망측,NNG,-1
127,경의,NNG,1
128,자부심,NNG,1
129,상실감,NNG,-1
130,명량,NNP,1
131,위선자,NNG,-1
132,처절,NNG,-1
133,파국,NNG,-1
134,타격,NNG,-1
135,비정,NNG,-1
136,오심,NNG,-1
137,고독,NNG,-1
138,분통,NNG,-1
139,모독,NNG,-1
140,고뇌,NNG,-1
141,번뇌,NNG,-1
142,오지랖,NNG,-1
143,침범,NNG,-1
144,극악무도,NNG,-1
145,최애,NNG,1
146,체벌,NNG,-1
147,멸망,NNG,-1
148,악랄,NNG,-1
149,총기,NNG,1
150,개차반,NNG,-1
151,빨갱이,NNG,-1
152,삿대질,NNG,-1
153,고충,NNG,-1
154,역적,NNG,-1
155,역정,NNG,-1
156,몰수,NNG,-1
157,몰락,NNG,-1
158,토사구팽,NNG,-1
159,고결,NNG,1
160,규탄,NNG,1
161,완화,NNG,1
162,시샘,NNG,-1
163,절교,NNG,-1
164,내란,NNG,-1
165,흉기,NNG,-1
166,패가망신,NNG,-1
167,능욕,NNG,-1
168,구사일생,NNG,1
169,과태료,NNG,-1
170,투지,NNG,1
171,환희,NNG,1
172,사악,NNG,-1
173,고립무원,NNG,-1
174,음모,NNG,-1
175,실랑이,NNG,-1
176,바라,VV,1
177,원하,VV,1
178,어렵,VA,-1
179,감탄,NNG,2
180,기대,NNG,1
181,따뜻,XR,2
182,상냥,XR,2
183,멋지,VA,2
184,숭고,XR,2
185,훌륭,XR,2
186,가당,XR,-1
187,갑갑,XR,-1
188,걱정,NNG,-1
189,겁나,VV,-2
190,견디,VV,-1
191,고발,NNG,-2
192,하소연,NNG,-2
193,골탕,NNG,-2
194,구속,NNG,-2
195,막히,VV,-1
196,낙후,NNG,-1
197,내팽개치,VV,-2
198,넋두리,NNG,-1
199,눈가림,NNG,-1
200,답답,XR,-1
201,더럽,VA,-1
202,두렵,VA,-2
203,막막,XR,-2
204,모자르,VA,-1
205,몰골,NNG,-2
206,몰지각,NNG,-2
207,무성의,NNG,-1
208,무안,NNG,-1
209,책임,NNG,-2
210,민망,XR,-1
211,박수,NNG,1
212,부당,NNG,-2
213,부도,NNG,-2
214,부채,NNG,-2
215,분개,NNG,-2
216,분진,NNG,-1
217,불법,NNG,-2
218,불쌍,XR,-1
219,불안,NNG,-1
220,불친절,NNG,-1
221,불쾌감,NNG,-2
222,불쾌,XR,-2
223,불편,NNG,-1
224,불행,NNG,-1
225,비난,NNG,-2
226,비판,NNG,-1
227,위험,NNG,-2
228,의절,NNG,-1
229,위조,NNG,-1
230,사기,NNG,-2
231,삭막,XR,-1
232,삼중고,NNG,-2
233,달리,MAG,-1
234,곤두세우,VV,-1
235,실망,NNG,-1
236,심각,XR,-2
237,쓰레기,NNG,-2
238,씁슬,XR,-1
239,아쉽,VA,-1
240,안타깝,VA,-1
241,어처구니,NNG,-2
242,억울,XR,-2
243,억장,NNG,-2
244,무너지,VV,-1
