,단어,점수
12401,쭈그러들게 되다,-1
12402,쭈그러들다,-1
12403,쭈그러듦,-1
12404,쭈그러져,-1
12405,쭈그러져 볼품없이,-2
12406,쭈그러져 작아지다,-1
12407,쭈그렁이,-1
12408,쭈글쭈글한,-1
12409,쭈글쭈글한 늙은이를,-1
12410,찌그러져,-1
12411,찌그러트리다,-1
12412,찌꺼기,-1
12413,찌꺼기 따위가,-1
12414,찌들고,-1
12415,찌르듯이,-1
12416,찌푸리는,-1
12417,찌푸리는 모양,-1
12418,찐따,-1
12419,찔찔대다,-1
12420,찝쩍대다,-2
12421,찝찝하다,-2
12422,찡그리다,-1
12423,찡찡대다,-1
12424,찡찡이,-1
12425,찡찡한,-1
12426,찡찡한 사람을,-1
12427,찢어져,-1
12428,찢어져 어지럽게,-1
12429,찢어진,-1
12430,찢어진 곳을,-1
12431,ㅊㅋ,1
12432,차가운 듯하다,-1
12433,차가움을,-1
12434,차가움을 느낄,-1
12435,차거나 싫은,-1
12436,차도남,1
12437,차도녀,1
12438,차리지 못하고,-1
12439,차마,-1
12440,차별 없이,1
12441,차분하지 못하고,-1
12442,차분하지 못하여,-1
12443,차분하지 않은,-1
12444,차지 아니하여,-1
12445,차지 아니하여서,-1
12446,차지 않아,-1
12447,착실하다,2
12448,착실하지 못하게,-2
12449,착실하지 못하고,-2
12450,착실하지 못하다,-2
12451,착실하지 못하며,-2
12452,착실하지 못하여,-2
12453,착실하지 않아,-2
12454,착실한,2
12455,착실한 맛,1
12456,착잡하거나,-2
12457,착잡하거나 언짢은,-2
12458,착착 달라붙을,1
12459,착취하여,-1
12460,착하고,2
12461,착하고 평등한,1
12462,착하고 훌륭한,2
12463,착하다,2
12464,착하여,2
12465,착하여 도덕적,2
12466,착하지 못함을,-2
12467,착하지 않음을,-1
12468,착한,2
12469,착한 마음을,2
12470,착한 벗이,2
12471,착한 사람을,2
12472,착한 체함을,-1
12473,착한 행실을,2
12474,착함을 좋아하는,2
12475,찬 기운과,-1
12476,찬 느낌이,-1
12477,찬 태도로,-1
12478,찬란하거나,2
