,단어,품사,점수
10821,솟다,V,0
10822,자리,N,0
10823,카멜리아,N,0
10824,놓다,V,0
10825,내부,N,0
10826,느낌,N,0
10827,안산암,N,0
10828,위하다,V,0
10829,전복,N,0
10830,백과사전,N,0
10831,기념탑,N,0
10832,엄선,N,0
10833,공원,N,0
10834,살다,V,0
10835,펼쳐지다,V,0
10836,공유,N,0
10837,봉사료,N,0
10838,학습장,N,0
10839,동안,N,0
10840,사계리,N,0
10841,명소,N,2
10842,세계,N,0
10843,성산포,N,0
10844,근처,N,0
10845,지대,N,0
10846,흩어지다,V,0
10847,일출봉,N,0
10848,눈물,N,0
10849,평원,N,0
10850,유명,N,1
10851,서커스,N,0
10852,바닷가,N,0
10853,경사지다,V,0
10854,해결,N,0
10855,면적,N,0
10856,정상부,N,0
10857,사진,N,0
10858,저지리,N,0
10859,사무실,N,0
10860,박물관,N,0
