,단어,품사,점수
9835,이다,V,0
9836,동시,N,0
9837,환불,N,-1
9838,이달,N,0
9839,가격,N,0
9840,날짜,N,0
9841,보내다,V,0
9842,계좌,N,0
9843,맞은편,N,0
9844,예약,N,0
9845,불가,N,-2
9846,올리브,N,0
9847,지다,V,0
9848,쇼시,N,0
9849,아트,N,0
9850,시술,N,0
9851,연락처,N,0
9852,본죽,N,0
9853,주다,V,0
9854,성함,N,0
9855,카톡,N,0
9856,국민,N,0
9857,친구,N,0
9858,받다,V,0
9859,오후,N,0
9860,아이디,N,0
9861,겨울,N,0
9862,디자인,N,0
9863,양식,N,0
9864,크리스마스,N,0
9865,예약금,N,0
9866,색상,N,0
9867,사진,N,0
9868,당일,N,0
9869,변경,N,0
9870,노형동,N,0
9871,가능,N,1
9872,많다,V,2
9873,네일,N,0
9874,버다,V,0
9875,플러스,N,0
9876,시간,N,0
9877,취소,N,0
9878,정지연,N,0
9879,사거리,N,0
9880,카카오톡,N,0
9881,제주시,N,0
9882,그램,N,0
9883,여부,N,0
9884,하다,V,0
9885,변동,N,0
9886,아라동,N,0
9887,스타,N,0
9888,시간대,N,0
9889,빠르다,V,1
9890,검색,N,0
9891,시청,N,0
9892,제거,N,0
9893,제주,N,0
9894,큐티클,N,0
9895,월랑,N,0
9896,뜯다,V,0
9897,동시,N,0
9898,환불,N,-1
9899,이달,N,0
9900,날짜,N,0
9901,보내다,V,0
9902,계좌,N,0
9903,구용,N,0
9904,맞은편,N,0
9905,예약,N,0
9906,불가,N,-2
9907,올리브,N,0
9908,지다,V,0
9909,쇼시,N,0
9910,아트,N,0
9911,시술,N,0
9912,연락처,N,0
9913,본죽,N,0
9914,건디,N,0
9915,주다,V,0
9916,성함,N,0
9917,카톡,N,0
9918,국민,N,0
9919,친구,N,0
9920,받다,V,0
9921,말다,V,0
9922,오후,N,0
9923,아이디,N,0
9924,겨울,N,0
9925,디자인,N,0
9926,양식,N,0
9927,크리스마스,N,0
9928,무광,N,0
9929,예약금,N,0
9930,사진,N,0
9931,당일,N,0
9932,노형동,N,0
9933,가능,N,1
9934,많다,V,2
9935,네일,N,0
9936,플러스,N,0
9937,시간,N,0
9938,취소,N,0
9939,정지연,N,0
9940,사거리,N,0
9941,카카오톡,N,0
9942,제주시,N,0
9943,그램,N,0
9944,하다,V,0
9945,여부,N,0
9946,변동,N,0
9947,아라동,N,0
9948,스타,N,0
9949,시간대,N,0
9950,빠르다,V,1
9951,검색,N,0
9952,시청,N,0
9953,제거,N,0
9954,연말,N,0
9955,제주,N,0
9956,월랑,N,0
9957,이다,V,0
9958,동시,N,0
9959,환불,N,-1
9960,이달,N,0
9961,날짜,N,0
9962,보내다,V,0
9963,계좌,N,0
9964,맞은편,N,0
9965,예약,N,0
9966,불가,N,-2
9967,올리브,N,0
9968,지다,V,0
9969,쇼시,N,0
9970,아트,N,0
9971,시술,N,0
9972,연락처,N,0
9973,본죽,N,0
9974,주다,V,0
9975,성함,N,0
9976,카톡,N,0
9977,국민,N,0
9978,친구,N,0
9979,받다,V,0
9980,오후,N,0
9981,아이디,N,0
9982,겨울,N,0
9983,디자인,N,0
9984,양식,N,0
9985,크리스마스,N,0
9986,예약금,N,0
9987,사진,N,0
9988,당일,N,0
9989,노형동,N,0
9990,가능,N,1
9991,많다,V,2
9992,네일,N,0
9993,플러스,N,0
9994,시간,N,0
9995,취소,N,0
9996,정지연,N,0
9997,사거리,N,0
9998,카카오톡,N,0
9999,제주시,N,0
10000,그램,N,0
10001,여부,N,0
10002,하다,V,0
10003,변동,N,0
10004,아라동,N,0
10005,스타,N,0
10006,시간대,N,0
10007,빠르다,V,1
10008,검색,N,0
10009,시청,N,0
10010,제거,N,0
10011,제주,N,0
10012,월랑,N,0
10013,동시,N,0
10014,환불,N,-1
10015,이달,N,0
10016,날짜,N,0
10017,보내다,V,0
10018,계좌,N,0
10019,맞은편,N,0
10020,예약,N,0
10021,불가,N,-2
10022,올리브,N,0
10023,지다,V,0
10024,쇼시,N,0
10025,아트,N,0
10026,시술,N,0
10027,연락처,N,0
10028,본죽,N,0
10029,주다,V,0
10030,성함,N,0
10031,카톡,N,0
10032,국민,N,0
10033,친구,N,0
10034,받다,V,0
10035,오후,N,0
10036,아이디,N,0
10037,겨울,N,0
10038,디자인,N,0
10039,양식,N,0
10040,크리스마스,N,0
10041,예약금,N,0
10042,사진,N,0
10043,당일,N,0
10044,노형동,N,0
10045,가능,N,1
10046,오다,V,0
10047,맛집,N,2
10048,제주,N,0
10049,먹다,V,0
10050,양고기,N,0
10051,노형동,N,0
