,단어,품사,점수
312,박히다,V,0
313,열무,N,0
314,신발,N,0
315,연중무휴,N,1
316,자박,N,0
317,마요네즈,N,0
318,유리창,N,0
319,영리,N,0
320,임팩트,N,0
321,흡수,N,0
322,간장,N,0
323,색깔,N,0
324,빼내다,V,0
325,소금,N,0
326,살얼음,N,0
327,식기,N,0
328,맵짜다,V,0
329,위생,N,1
330,매체,N,0
331,레이팅,N,0
332,서브,N,0
333,풍기다,V,0
334,계란,N,0
335,활기차다,V,2
336,내음,N,0
337,초장,N,0
338,냉장고,N,0
339,맵다,V,-1
340,얹다,V,0
341,채취,N,0
342,해풍,N,0
343,고추,N,0
344,기름,N,0
345,신기,N,0
346,한기,N,0
347,가짓수,N,0
348,밀가루,N,0
349,감동,N,2
350,뒤쪽,N,0
351,충격,N,-1
352,마자,N,0
353,엿보이다,V,0
354,부착,N,0
355,판국,N,0
356,깨물다,V,0
357,아이디어,N,0
358,영금,N,0
359,늙다,V,0
360,단맛,N,2
361,방식,N,0
362,뇌리,N,0
363,회전율,N,0
364,오득,N,0
365,생물,N,0
366,차오르다,V,0
367,고구마,N,0
368,꺼내다,V,0
369,슬로우,N,0
370,취급,N,0
371,손잡이,N,0
372,우려내다,V,0
373,서리다,V,0
374,순하다,V,1
375,내주다,V,0
376,씹히다,V,0
377,서두르다,V,0
378,최소,N,-1
379,연령,N,0
380,줄지다,V,0
381,뒤따르다,V,0
382,당근,N,0
383,공급,N,0
384,밥상,N,0
385,인지,N,0
386,나무라다,V,0
387,음미,N,2
388,질기다,V,0
389,텃세,N,0
390,엘사,N,0
391,예분,N,0
392,지파,N,0
393,령신,N,0
394,時節,N,0
395,숨기다,V,0
396,울타리,N,0
397,맡다,V,0
398,서로,N,0
399,성실,N,2
400,고치다,V,0
401,도약,N,0
402,그르치다,V,-2
403,뉘우치다,V,0
404,나그네,N,0
405,금지,N,-2
406,일체,N,0
407,글월,N,0
408,해원,N,0
409,목사,N,0
410,선행,N,0
411,상도,N,0
412,기리다,V,0
413,통한,N,0
414,기초,N,0
415,내왕,N,0
416,방면,N,0
417,자비,N,0
418,곡동,N,0
419,신임,N,0
420,벼슬,N,0
421,태극,N,0
422,도로포장,N,0
423,요지부동,N,0
424,부정,N,0
425,스승,N,0
426,무궁무진,N,2
427,군수,N,0
428,너다,V,0
429,조절,N,0
430,모순,N,-1
431,덜다,V,0
432,사바세계,N,0
433,집단,N,0
434,조락,N,0
435,흔드다,V,0
436,퍼뜨리다,V,0
437,구원,N,0
438,고을,N,0
439,살아가다,V,0
440,느다,V,0
441,갈망,N,1
442,삼가다,V,0
443,허무,N,-2
444,거다,V,0
445,미국,N,0
446,두채,N,0
447,순진,N,1
448,즐거워하다,V,2
449,받들다,V,0
450,사사롭다,V,0
451,리회,N,0
452,임금,N,0
453,지껄이다,V,0
454,상대,N,0
455,앞길,N,0
456,재세,N,0
457,들끓다,V,0
