,단어,품사,점수
256,죽음,NNG,-2
257,남용,NNG,-1
258,진정서,NNG,-1
259,징수,NNG,-1
260,흉하,VA,-1
261,챙피,NNG,-1
262,추하,VA,-1
263,추한,VA+ETM,-1
264,침체기,NNG,-1
265,퇴락,NNG,-1
266,투기,NNG,-1
267,폐기물,NNG,-1
268,폭력,NNG,-2
269,폭행,NNG,-2
270,편의주의,NNG,-1
271,형편없,VA,-2
272,황당,XR,-2
273,애처럽,VA,-1
274,후회,NNG,-1
275,휘둘리,VV,-1
276,흉물,NNG,-2
277,희망,NNG,2
278,힘들,VA,-2
279,시끄럽,VA,-1
280,비웃,NNG,-1
281,미관,NNG,1
282,해치,VV,-1
283,무지막지,XR,-1
284,무섭,VA,-1
285,매연,NNG,-1
286,말썽,NNG,-1
287,도주,NNG,-1
288,뇌물,NNG,-2
289,괴롭,VA,-2
290,칭찬,NNG,1
291,즐겁,VA,1
292,심하,VA,-1
293,어려움,NNG,-1
294,어이없,VA,-2
295,오물,NNG,-1
296,욕설,NNG,-2
297,우려,NNG,-1
298,위반,NNG,-1
299,유해,NNG,-1
300,우습,VA,-1
301,의심,NNG,-1
302,폐물,NNG,-1
303,재발,NNG,-1
304,적발,NNG,-1
305,줄행랑,NNG,-1
306,진저리,NNG,-2
307,찌푸리,VV,-1
308,처벌,NNG,-1
309,한심,XR,-1
310,허술,XR,-1
311,화근,NNG,-1
312,화나,VV,-2
313,오염,NNG,-1
314,불신감,NNG,-1
315,불만,NNG,-1
316,불량배,NNG,-1
317,분실,NNG,-1
318,망실,NNG,-1
319,나쁘,VA,-1
320,우범,NNG,-1
321,위협,NNG,-1
322,전멸,NNG,-1
323,지장,NNG,-1
324,지치,VV,-1
325,파손,NNG,-1
326,패이,VV,-1
327,호객,NNG,-1
328,거부,NNG,-1
329,과대광고,NNG,-1
330,과혹,NNG,-2
331,규제,NNG,-1
332,끔찍,XR,-2
333,난감,XR,-1
334,난처,XR,-1
335,당하,VV,-1
336,당황,NNG,-1
337,도용,NNG,-1
338,때리,VV,-1
339,마찰,NNG,-1
340,묵살,NNG,-1
341,반대,NNG,-1
342,부끄럽,VA,-1
343,악덕,NNG,-1
344,불량,NNG,-1
345,비리,NNG,-1
346,서글프,VA,-1
347,서럽,VA,-1
348,서운,XR,-1
349,상하,VV,-1
350,수모,NNG,-1
351,싸가지,NNG,-2
352,아깝,VA,-1
353,아프,VA,-1
354,악화,NNG,-2
355,폐수,NNG,-1
356,암담,XR,-1
357,폭언,NNG,-2
358,울부짖,VV,-2
359,위법성,NNG,-1
360,은폐,NNG,-1
361,매정,XR,-1
362,창피,NNG,-1
363,터무니없,VA,-1
364,퉁명,NNG,-1
365,허울,NNG,-1
366,혐오,NNG,-1
367,횡포,NNG,-2
368,떠넘기,VV,-1
369,미개인,NNG,-1
370,방치,NNG,-1
371,상투,NNG,-1
372,악영향,NNG,-1
373,원성,NNG,-1
374,유흥업소,NNG,-1
375,지겹,VA,-1
376,향락,NNG,-1
377,감옥,NNG,-1
378,강탈,NNG,-1
379,걸림돌,NNG,-1
380,고자세,NNG,-1
381,과도,NNG,-1
382,낙후성,NNG,-1
383,난장판,NNG,-1
384,농간,NNG,-1
385,탁상공론,NNG,-1
386,박대,NNG,-1
387,떨거지,NNG,-1
388,무허가,NNG,-1
389,묵인,NNG,-1
390,부실,NNG,-1
391,분열,NNG,-1
392,불구,XR,-1
393,불길,XR,-1
394,실수,NNG,-1
395,어긋나,VV,-1
396,엉뚱,XR,-1
397,우후죽순,NNG,-1
398,위법,NNG,-1
399,적반하장,NNG,-1
400,절박,XR,-1
401,존폐,NNG,-1
402,지나치,VA,-1
403,착취,NNG,-1
404,초조,NNG,-1
405,하위,NNG,-1
406,특혜,NNG,-1
407,편법,NNG,-1
408,폭리,NNG,-1
409,갈라진,VV+ETM,-1
410,행패,NNG,-1
411,질리,VV,-2
412,쓰러지,VV,-1
413,지저분,XR,-1
414,멍들,VV,-1
415,경적,NNG,-1
416,고질,NNG,-1
417,고함,NNG,-1
418,급정거,NNG,-1
419,급정지,NNG,-1
420,기만,NNG,-1
421,끔직,XR,-2
422,넘어지,VV,-1
423,다급,XR,-1
424,만행,NNG,-1
425,막말,NNG,-1
426,멱살,NNG,-1
427,면박,NNG,-1
428,묵과,NNG,-1
429,범죄,NNG,-2
430,손해,NNG,-1
431,싸우,VV,-1
432,애통,NNG,-1
433,언성,NNG,-1
434,욕먹,VV,-1
435,우기,VV,-1
436,징계,NNG,-1
437,무색,XR,-1
438,치솟,VV,-1
439,타박상,NNG,-1
440,짓거리,NNG,-1
441,호통,NNG,-1
442,화풀이,NNG,-2
443,균열,NNG,-1
444,나태,NNG,-1
445,노후화,NNG,-1
446,몸살,NNG,-1
447,무사안일,NNG,-1
448,비싸,VA,-1
449,쓰레기장,NNG,-1
450,바가지,NNG,-1
451,거칠,VA,-1
452,고압,NNG,-1
453,급정차,NNG,-1
454,깝깝,XR,-1
455,미흡,NNG,-1
456,난폭,NNG,-1
457,노골,NNG,-1
458,미숙,XR,-1
459,무대책,NNG,-1
460,문제점,NNG,-1
461,마비,NNG,-1
462,버리,VV,-1
463,벗기,VV,-1
464,도난,NNG,-2
465,상습,NNG,-1
466,시늉,NNG,-1
467,심란,XR,-1
468,오해,NNG,-1
469,울화통,NNG,-2
470,체증,NNG,-1
471,편파,NNG,-1
472,까다롭,VA,-1
473,때려치,VV,-1
474,방관,NNG,-1
475,복잡,XR,-1
476,부담,NNG,-1
477,사익,NNG,-1
478,근심,NNG,-1
479,탈락,NNG,-1
480,유기,NNG,-1
481,포기,NNG,-1
482,부족,NNG,-1
483,안일,NNG,-1
484,암표,NNG,-1
485,제한,NNG,-1
486,짱나,VV,-2
487,가로막,NNG,-1
488,꺼리,NNG,-2
489,단점,NNG,-2
490,돈지랄,NNG,-2
491,돌대가리,NNG,-2
492,딸리,VV,-1
493,말아먹,VV,-2
494,버벅,MAG,-1
495,번거,XR,-1
496,변색,NNG,-1
497,비루,XR,-2
498,삐딱,XR,-2
499,실패,NNG,-2
500,쓸데없,VA,-2
501,쓸모없,VA,-2
502,에러,NNG,-2
503,고장,NNG,-1
504,흥겹,VA,2
505,호구,NNG,-2
506,흐리,VA,-1
507,흐릿,XR,-2
508,가뭄,NNG,-2
509,가식,NNG,-2
510,가짜,NNG,-2
511,가혹,NNG,-2
512,감염,NNG,-2
513,강매,NNG,-2
514,개뿔,NNG,-2
515,개소리,NNG,-2
516,격노,NNG,-2
517,구리,VA,-2
518,분하,VA,-1
519,격분,NNG,-2
520,경멸,NNG,-2
521,실업,NNG,-1
522,고약,XR,-2
523,고행,NNG,-2
524,곡소리,NNG,-2
525,곤두박질,NNG,-2
526,공해,NNG,-2
527,과격,XR,-2
528,과대,NNG,-2
529,괘씸죄,NNG,-2
530,급발진,NNP,-2
531,기구,XR,-2
532,기피,NNG,-2
533,꺼림칙,XR,-2
534,껄끄럽,VA,-2
535,꼴불견,NNG,-2
536,꼴통,NNG,-2
537,낙담,NNG,-2
538,낙심,NNG,-2
539,낙오,NNG,-2
540,낙태,NNG,-2
541,낙폭,NNG,-2
542,낭패,NNG,-2
543,냉담,NNG,-2
544,냉대,NNG,-2
545,누명,NNG,-2
546,능멸,NNG,-2
